celltype,gene,species,source
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PSEUDOGENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
